iso3	country	measure	source	unit	year	year_date	obs_value
KOR	Republic of Korea	population	UN World Population Prospects 2024	population	2022	2022-01-01	51805631
KOR	Republic of Korea	population	UN World Population Prospects 2024	population	2023	2023-01-01	51759392
SGP	Singapore	population	UN World Population Prospects 2024	population	2016	2016-01-01	5559088
SGP	Singapore	population	UN World Population Prospects 2024	population	2017	2017-01-01	5596771
SGP	Singapore	population	UN World Population Prospects 2024	population	2018	2018-01-01	5611386
SGP	Singapore	population	UN World Population Prospects 2024	population	2019	2019-01-01	5657353
SGP	Singapore	population	UN World Population Prospects 2024	population	2020	2020-01-01	5681772
SGP	Singapore	population	UN World Population Prospects 2024	population	2021	2021-01-01	5558529
SGP	Singapore	population	UN World Population Prospects 2024	population	2022	2022-01-01	5534051
SGP	Singapore	population	UN World Population Prospects 2024	population	2023	2023-01-01	5765718
ESP	Spain	population	UN World Population Prospects 2024	population	2016	2016-01-01	46680827
ESP	Spain	population	UN World Population Prospects 2024	population	2017	2017-01-01	46784715
ESP	Spain	population	UN World Population Prospects 2024	population	2018	2018-01-01	46952476
ESP	Spain	population	UN World Population Prospects 2024	population	2019	2019-01-01	47233166
ESP	Spain	population	UN World Population Prospects 2024	population	2020	2020-01-01	47637072
ESP	Spain	population	UN World Population Prospects 2024	population	2021	2021-01-01	47721906
ESP	Spain	population	UN World Population Prospects 2024	population	2022	2022-01-01	47749421
ESP	Spain	population	UN World Population Prospects 2024	population	2023	2023-01-01	47907344
SWE	Sweden	population	UN World Population Prospects 2024	population	2016	2016-01-01	9851272
SWE	Sweden	population	UN World Population Prospects 2024	population	2017	2017-01-01	9995288
SWE	Sweden	population	UN World Population Prospects 2024	population	2018	2018-01-01	10120435
SWE	Sweden	population	UN World Population Prospects 2024	population	2019	2019-01-01	10230374
SWE	Sweden	population	UN World Population Prospects 2024	population	2020	2020-01-01	10327876
SWE	Sweden	population	UN World Population Prospects 2024	population	2021	2021-01-01	10379497
SWE	Sweden	population	UN World Population Prospects 2024	population	2022	2022-01-01	10452766
SWE	Sweden	population	UN World Population Prospects 2024	population	2023	2023-01-01	10521910
CHE	Switzerland	population	UN World Population Prospects 2024	population	2016	2016-01-01	8328614
CHE	Switzerland	population	UN World Population Prospects 2024	population	2017	2017-01-01	8421188
CHE	Switzerland	population	UN World Population Prospects 2024	population	2018	2018-01-01	8486068
CHE	Switzerland	population	UN World Population Prospects 2024	population	2019	2019-01-01	8546621
CHE	Switzerland	population	UN World Population Prospects 2024	population	2020	2020-01-01	8608427
CHE	Switzerland	population	UN World Population Prospects 2024	population	2021	2021-01-01	8672736
CHE	Switzerland	population	UN World Population Prospects 2024	population	2022	2022-01-01	8741311
CHE	Switzerland	population	UN World Population Prospects 2024	population	2023	2023-01-01	8843053
GBR	United Kingdom	population	UN World Population Prospects 2024	population	2016	2016-01-01	65642696
GBR	United Kingdom	population	UN World Population Prospects 2024	population	2017	2017-01-01	66144020
GBR	United Kingdom	population	UN World Population Prospects 2024	population	2018	2018-01-01	66564922
GBR	United Kingdom	population	UN World Population Prospects 2024	population	2019	2019-01-01	66940028
GBR	United Kingdom	population	UN World Population Prospects 2024	population	2020	2020-01-01	67281888
GBR	United Kingdom	population	UN World Population Prospects 2024	population	2021	2021-01-01	67421835
GBR	United Kingdom	population	UN World Population Prospects 2024	population	2022	2022-01-01	67915749
GBR	United Kingdom	population	UN World Population Prospects 2024	population	2023	2023-01-01	68442882
USA	United States of America	population	UN World Population Prospects 2024	population	2016	2016-01-01	327624824
USA	United States of America	population	UN World Population Prospects 2024	population	2017	2017-01-01	330734029
USA	United States of America	population	UN World Population Prospects 2024	population	2018	2018-01-01	333675290
USA	United States of America	population	UN World Population Prospects 2024	population	2019	2019-01-01	336437705
USA	United States of America	population	UN World Population Prospects 2024	population	2020	2020-01-01	339142428
USA	United States of America	population	UN World Population Prospects 2024	population	2021	2021-01-01	339729889
USA	United States of America	population	UN World Population Prospects 2024	population	2022	2022-01-01	340592993
USA	United States of America	population	UN World Population Prospects 2024	population	2023	2023-01-01	342475098
DNK	Denmark	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2016	2016-01-01	194.013613
DNK	Denmark	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2017	2017-01-01	287.152524
DNK	Denmark	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2018	2018-01-01	467.9313
DNK	Denmark	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2019	2019-01-01	708.539498
DNK	Denmark	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2020	2020-01-01	734.943921
DNK	Denmark	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2021	2021-01-01	2379.634358
DNK	Denmark	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2022	2022-01-01	1030.507982
DNK	Denmark	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2023	2023-01-01	1139.669684
EST	Estonia	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2016	2016-01-01	25.835548
EST	Estonia	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2017	2017-01-01	145.357625
EST	Estonia	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2018	2018-01-01	31.622715
EST	Estonia	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2019	2019-01-01	102.468753
EST	Estonia	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2020	2020-01-01	314.120446
EST	Estonia	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2021	2021-01-01	999.362988
EST	Estonia	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2022	2022-01-01	1461.345316
EST	Estonia	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2023	2023-01-01	336.292236
FIN	Finland	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2016	2016-01-01	248.121622
FIN	Finland	VC investments in USDm	Crunchbase, Startupticker.ch 	USDm	2017	2017-01-01	321.056396
