country,unit,geo,year,obs_value,var_axis,year_date,iso3
Spain,Percentage,ES,2020,6.05,Exports of high technology products as a share of total products exports,2020-01-01,ESP
Spain,Percentage,ES,2021,7.13,Exports of high technology products as a share of total products exports,2021-01-01,ESP
Spain,Percentage,ES,2022,8.46,Exports of high technology products as a share of total products exports,2022-01-01,ESP
European Union - 27 countries (from 2020),Percentage,EU27_2020,2011,14.42,Exports of high technology products as a share of total products exports,2011-01-01,NA
European Union - 27 countries (from 2020),Percentage,EU27_2020,2012,14.64,Exports of high technology products as a share of total products exports,2012-01-01,NA
European Union - 27 countries (from 2020),Percentage,EU27_2020,2013,14.63,Exports of high technology products as a share of total products exports,2013-01-01,NA
European Union - 27 countries (from 2020),Percentage,EU27_2020,2014,14.83,Exports of high technology products as a share of total products exports,2014-01-01,NA
European Union - 27 countries (from 2020),Percentage,EU27_2020,2015,16.04,Exports of high technology products as a share of total products exports,2015-01-01,NA
European Union - 27 countries (from 2020),Percentage,EU27_2020,2016,16.48,Exports of high technology products as a share of total products exports,2016-01-01,NA
European Union - 27 countries (from 2020),Percentage,EU27_2020,2017,16.68,Exports of high technology products as a share of total products exports,2017-01-01,NA
European Union - 27 countries (from 2020),Percentage,EU27_2020,2018,16.89,Exports of high technology products as a share of total products exports,2018-01-01,NA
European Union - 27 countries (from 2020),Percentage,EU27_2020,2019,17.9,Exports of high technology products as a share of total products exports,2019-01-01,NA
European Union - 27 countries (from 2020),Percentage,EU27_2020,2020,17.7,Exports of high technology products as a share of total products exports,2020-01-01,NA
European Union - 27 countries (from 2020),Percentage,EU27_2020,2021,17.65,Exports of high technology products as a share of total products exports,2021-01-01,NA
European Union - 27 countries (from 2020),Percentage,EU27_2020,2022,17.32,Exports of high technology products as a share of total products exports,2022-01-01,NA
Finland,Percentage,FI,2011,7.98,Exports of high technology products as a share of total products exports,2011-01-01,FIN
Finland,Percentage,FI,2012,7.32,Exports of high technology products as a share of total products exports,2012-01-01,FIN
Finland,Percentage,FI,2013,6.18,Exports of high technology products as a share of total products exports,2013-01-01,FIN
Finland,Percentage,FI,2014,6.67,Exports of high technology products as a share of total products exports,2014-01-01,FIN
Finland,Percentage,FI,2015,7.02,Exports of high technology products as a share of total products exports,2015-01-01,FIN
Finland,Percentage,FI,2016,6.84,Exports of high technology products as a share of total products exports,2016-01-01,FIN
Finland,Percentage,FI,2017,6.59,Exports of high technology products as a share of total products exports,2017-01-01,FIN
Finland,Percentage,FI,2018,6.08,Exports of high technology products as a share of total products exports,2018-01-01,FIN
Finland,Percentage,FI,2019,6.3,Exports of high technology products as a share of total products exports,2019-01-01,FIN
Finland,Percentage,FI,2020,6.78,Exports of high technology products as a share of total products exports,2020-01-01,FIN
Finland,Percentage,FI,2021,6.79,Exports of high technology products as a share of total products exports,2021-01-01,FIN
Finland,Percentage,FI,2022,6.27,Exports of high technology products as a share of total products exports,2022-01-01,FIN
France,Percentage,FR,2011,18.72,Exports of high technology products as a share of total products exports,2011-01-01,FRA
France,Percentage,FR,2012,20.02,Exports of high technology products as a share of total products exports,2012-01-01,FRA
France,Percentage,FR,2013,20.43,Exports of high technology products as a share of total products exports,2013-01-01,FRA
France,Percentage,FR,2014,20.8,Exports of high technology products as a share of total products exports,2014-01-01,FRA
France,Percentage,FR,2015,21.69,Exports of high technology products as a share of total products exports,2015-01-01,FRA
France,Percentage,FR,2016,21.68,Exports of high technology products as a share of total products exports,2016-01-01,FRA
France,Percentage,FR,2017,20.57,Exports of high technology products as a share of total products exports,2017-01-01,FRA
France,Percentage,FR,2018,20.46,Exports of high technology products as a share of total products exports,2018-01-01,FRA
France,Percentage,FR,2019,21.45,Exports of high technology products as a share of total products exports,2019-01-01,FRA
France,Percentage,FR,2020,18.5,Exports of high technology products as a share of total products exports,2020-01-01,FRA
France,Percentage,FR,2021,17.26,Exports of high technology products as a share of total products exports,2021-01-01,FRA
France,Percentage,FR,2022,17.17,Exports of high technology products as a share of total products exports,2022-01-01,FRA
Croatia,Percentage,HR,2011,5.83,Exports of high technology products as a share of total products exports,2011-01-01,HRV
Croatia,Percentage,HR,2012,7.18,Exports of high technology products as a share of total products exports,2012-01-01,HRV
Croatia,Percentage,HR,2013,7.87,Exports of high technology products as a share of total products exports,2013-01-01,HRV
Croatia,Percentage,HR,2014,6.57,Exports of high technology products as a share of total products exports,2014-01-01,HRV
Croatia,Percentage,HR,2015,7.08,Exports of high technology products as a share of total products exports,2015-01-01,HRV
Croatia,Percentage,HR,2016,9.67,Exports of high technology products as a share of total products exports,2016-01-01,HRV
Croatia,Percentage,HR,2017,9.2,Exports of high technology products as a share of total products exports,2017-01-01,HRV
Croatia,Percentage,HR,2018,8.04,Exports of high technology products as a share of total products exports,2018-01-01,HRV
Croatia,Percentage,HR,2019,8.11,Exports of high technology products as a share of total products exports,2019-01-01,HRV
Croatia,Percentage,HR,2020,9.27,Exports of high technology products as a share of total products exports,2020-01-01,HRV
Croatia,Percentage,HR,2021,7.77,Exports of high technology products as a share of total products exports,2021-01-01,HRV
Croatia,Percentage,HR,2022,6.85,Exports of high technology products as a share of total products exports,2022-01-01,HRV
Hungary,Percentage,HU,2011,20.85,Exports of high technology products as a share of total products exports,2011-01-01,HUN
Hungary,Percentage,HU,2012,17.27,Exports of high technology products as a share of total products exports,2012-01-01,HUN
Hungary,Percentage,HU,2013,16.28,Exports of high technology products as a share of total products exports,2013-01-01,HUN
Hungary,Percentage,HU,2014,14.48,Exports of high technology products as a share of total products exports,2014-01-01,HUN
Hungary,Percentage,HU,2015,15.32,Exports of high technology products as a share of total products exports,2015-01-01,HUN
Hungary,Percentage,HU,2016,15.9,Exports of high technology products as a share of total products exports,2016-01-01,HUN
Hungary,Percentage,HU,2017,15.95,Exports of high technology products as a share of total products exports,2017-01-01,HUN
Hungary,Percentage,HU,2018,15.52,Exports of high technology products as a share of total products exports,2018-01-01,HUN
Hungary,Percentage,HU,2019,16.26,Exports of high technology products as a share of total products exports,2019-01-01,HUN
Hungary,Percentage,HU,2020,16.82,Exports of high technology products as a share of total products exports,2020-01-01,HUN
Hungary,Percentage,HU,2021,14.94,Exports of high technology products as a share of total products exports,2021-01-01,HUN
Hungary,Percentage,HU,2022,14.77,Exports of high technology products as a share of total products exports,2022-01-01,HUN
Ireland,Percentage,IE,2011,21.23,Exports of high technology products as a share of total products exports,2011-01-01,IRL
Ireland,Percentage,IE,2012,21.69,Exports of high technology products as a share of total products exports,2012-01-01,IRL
Ireland,Percentage,IE,2013,20.89,Exports of high technology products as a share of total products exports,2013-01-01,IRL
Ireland,Percentage,IE,2014,20.87,Exports of high technology products as a share of total products exports,2014-01-01,IRL
Ireland,Percentage,IE,2015,24.44,Exports of high technology products as a share of total products exports,2015-01-01,IRL
Ireland,Percentage,IE,2016,28.7,Exports of high technology products as a share of total products exports,2016-01-01,IRL
Ireland,Percentage,IE,2017,34.49,Exports of high technology products as a share of total products exports,2017-01-01,IRL
Ireland,Percentage,IE,2018,34.87,Exports of high technology products as a share of total products exports,2018-01-01,IRL
Ireland,Percentage,IE,2019,38.57,Exports of high technology products as a share of total products exports,2019-01-01,IRL
Ireland,Percentage,IE,2020,42.49,Exports of high technology products as a share of total products exports,2020-01-01,IRL
Ireland,Percentage,IE,2021,43.5,Exports of high technology products as a share of total products exports,2021-01-01,IRL
Ireland,Percentage,IE,2022,42.46,Exports of high technology products as a share of total products exports,2022-01-01,IRL
Iceland,Percentage,IS,2011,2.87,Exports of high technology products as a share of total products exports,2011-01-01,ISL
Iceland,Percentage,IS,2012,1.89,Exports of high technology products as a share of total products exports,2012-01-01,ISL
Iceland,Percentage,IS,2013,1.64,Exports of high technology products as a share of total products exports,2013-01-01,ISL
Iceland,Percentage,IS,2014,1.93,Exports of high technology products as a share of total products exports,2014-01-01,ISL
Iceland,Percentage,IS,2015,2.23,Exports of high technology products as a share of total products exports,2015-01-01,ISL
Iceland,Percentage,IS,2016,3,Exports of high technology products as a share of total products exports,2016-01-01,ISL
Iceland,Percentage,IS,2017,3.38,Exports of high technology products as a share of total products exports,2017-01-01,ISL
Iceland,Percentage,IS,2018,2.54,Exports of high technology products as a share of total products exports,2018-01-01,ISL
Iceland,Percentage,IS,2019,5.97,Exports of high technology products as a share of total products exports,2019-01-01,ISL
Iceland,Percentage,IS,2020,3.27,Exports of high technology products as a share of total products exports,2020-01-01,ISL
Iceland,Percentage,IS,2021,4.16,Exports of high technology products as a share of total products exports,2021-01-01,ISL
Iceland,Percentage,IS,2022,4.47,Exports of high technology products as a share of total products exports,2022-01-01,ISL
Italy,Percentage,IT,2011,6.45,Exports of high technology products as a share of total products exports,2011-01-01,ITA
Italy,Percentage,IT,2012,6.36,Exports of high technology products as a share of total products exports,2012-01-01,ITA
Italy,Percentage,IT,2013,6.64,Exports of high technology products as a share of total products exports,2013-01-01,ITA
Italy,Percentage,IT,2014,6.71,Exports of high technology products as a share of total products exports,2014-01-01,ITA
Italy,Percentage,IT,2015,6.96,Exports of high technology products as a share of total products exports,2015-01-01,ITA
Italy,Percentage,IT,2016,7.13,Exports of high technology products as a share of total products exports,2016-01-01,ITA
Italy,Percentage,IT,2017,7.56,Exports of high technology products as a share of total products exports,2017-01-01,ITA
Italy,Percentage,IT,2018,7.68,Exports of high technology products as a share of total products exports,2018-01-01,ITA
Italy,Percentage,IT,2019,7.92,Exports of high technology products as a share of total products exports,2019-01-01,ITA
Italy,Percentage,IT,2020,8.31,Exports of high technology products as a share of total products exports,2020-01-01,ITA
Italy,Percentage,IT,2021,7.77,Exports of high technology products as a share of total products exports,2021-01-01,ITA
Italy,Percentage,IT,2022,8,Exports of high technology products as a share of total products exports,2022-01-01,ITA
Lithuania,Percentage,LT,2011,5.65,Exports of high technology products as a share of total products exports,2011-01-01,LTU
Lithuania,Percentage,LT,2012,5.79,Exports of high technology products as a share of total products exports,2012-01-01,LTU
Lithuania,Percentage,LT,2013,5.85,Exports of high technology products as a share of total products exports,2013-01-01,LTU
Lithuania,Percentage,LT,2014,6.55,Exports of high technology products as a share of total products exports,2014-01-01,LTU
Lithuania,Percentage,LT,2015,7.56,Exports of high technology products as a share of total products exports,2015-01-01,LTU
Lithuania,Percentage,LT,2016,7.84,Exports of high technology products as a share of total products exports,2016-01-01,LTU
Lithuania,Percentage,LT,2017,8.08,Exports of high technology products as a share of total products exports,2017-01-01,LTU
Lithuania,Percentage,LT,2018,7.96,Exports of high technology products as a share of total products exports,2018-01-01,LTU
Lithuania,Percentage,LT,2019,8.21,Exports of high technology products as a share of total products exports,2019-01-01,LTU
Lithuania,Percentage,LT,2020,8.59,Exports of high technology products as a share of total products exports,2020-01-01,LTU
Lithuania,Percentage,LT,2021,8.05,Exports of high technology products as a share of total products exports,2021-01-01,LTU
Lithuania,Percentage,LT,2022,7.79,Exports of high technology products as a share of total products exports,2022-01-01,LTU
Luxembourg,Percentage,LU,2011,25.77,Exports of high technology products as a share of total products exports,2011-01-01,LUX
Luxembourg,Percentage,LU,2012,26.7,Exports of high technology products as a share of total products exports,2012-01-01,LUX
Luxembourg,Percentage,LU,2013,21.9,Exports of high technology products as a share of total products exports,2013-01-01,LUX
Luxembourg,Percentage,LU,2014,19.61,Exports of high technology products as a share of total products exports,2014-01-01,LUX
Luxembourg,Percentage,LU,2015,19.85,Exports of high technology products as a share of total products exports,2015-01-01,LUX
Luxembourg,Percentage,LU,2016,15.34,Exports of high technology products as a share of total products exports,2016-01-01,LUX
Luxembourg,Percentage,LU,2017,6.96,Exports of high technology products as a share of total products exports,2017-01-01,LUX
Luxembourg,Percentage,LU,2018,7.11,Exports of high technology products as a share of total products exports,2018-01-01,LUX
Luxembourg,Percentage,LU,2019,14.6,Exports of high technology products as a share of total products exports,2019-01-01,LUX
Luxembourg,Percentage,LU,2020,4.94,Exports of high technology products as a share of total products exports,2020-01-01,LUX
Luxembourg,Percentage,LU,2021,5.71,Exports of high technology products as a share of total products exports,2021-01-01,LUX
Luxembourg,Percentage,LU,2022,5.5,Exports of high technology products as a share of total products exports,2022-01-01,LUX
Latvia,Percentage,LV,2011,6.71,Exports of high technology products as a share of total products exports,2011-01-01,LVA
Latvia,Percentage,LV,2012,6.43,Exports of high technology products as a share of total products exports,2012-01-01,LVA
Latvia,Percentage,LV,2013,8.05,Exports of high technology products as a share of total products exports,2013-01-01,LVA
Latvia,Percentage,LV,2014,9.53,Exports of high technology products as a share of total products exports,2014-01-01,LVA
Latvia,Percentage,LV,2015,10.84,Exports of high technology products as a share of total products exports,2015-01-01,LVA
Latvia,Percentage,LV,2016,10.03,Exports of high technology products as a share of total products exports,2016-01-01,LVA
Latvia,Percentage,LV,2017,10.47,Exports of high technology products as a share of total products exports,2017-01-01,LVA
Latvia,Percentage,LV,2018,12.03,Exports of high technology products as a share of total products exports,2018-01-01,LVA
Latvia,Percentage,LV,2019,9.94,Exports of high technology products as a share of total products exports,2019-01-01,LVA
Latvia,Percentage,LV,2020,11.68,Exports of high technology products as a share of total products exports,2020-01-01,LVA
Latvia,Percentage,LV,2021,9.72,Exports of high technology products as a share of total products exports,2021-01-01,LVA
Latvia,Percentage,LV,2022,8.7,Exports of high technology products as a share of total products exports,2022-01-01,LVA
Malta,Percentage,MT,2011,30.09,Exports of high technology products as a share of total products exports,2011-01-01,MLT
Malta,Percentage,MT,2012,29.62,Exports of high technology products as a share of total products exports,2012-01-01,MLT
Malta,Percentage,MT,2013,28.47,Exports of high technology products as a share of total products exports,2013-01-01,MLT
Malta,Percentage,MT,2014,28.68,Exports of high technology products as a share of total products exports,2014-01-01,MLT
Malta,Percentage,MT,2015,24.13,Exports of high technology products as a share of total products exports,2015-01-01,MLT
Malta,Percentage,MT,2016,18.27,Exports of high technology products as a share of total products exports,2016-01-01,MLT
Malta,Percentage,MT,2017,22.53,Exports of high technology products as a share of total products exports,2017-01-01,MLT
Malta,Percentage,MT,2018,24.05,Exports of high technology products as a share of total products exports,2018-01-01,MLT
Malta,Percentage,MT,2019,23.72,Exports of high technology products as a share of total products exports,2019-01-01,MLT
Malta,Percentage,MT,2020,29.81,Exports of high technology products as a share of total products exports,2020-01-01,MLT
Malta,Percentage,MT,2021,24.9,Exports of high technology products as a share of total products exports,2021-01-01,MLT
Malta,Percentage,MT,2022,31.1,Exports of high technology products as a share of total products exports,2022-01-01,MLT
Netherlands,Percentage,NL,2011,17.33,Exports of high technology products as a share of total products exports,2011-01-01,NLD
Netherlands,Percentage,NL,2012,18.78,Exports of high technology products as a share of total products exports,2012-01-01,NLD
Netherlands,Percentage,NL,2013,17.71,Exports of high technology products as a share of total products exports,2013-01-01,NLD
Netherlands,Percentage,NL,2014,18.63,Exports of high technology products as a share of total products exports,2014-01-01,NLD
Netherlands,Percentage,NL,2015,20.35,Exports of high technology products as a share of total products exports,2015-01-01,NLD
Netherlands,Percentage,NL,2016,21,Exports of high technology products as a share of total products exports,2016-01-01,NLD
Netherlands,Percentage,NL,2017,21.61,Exports of high technology products as a share of total products exports,2017-01-01,NLD
Netherlands,Percentage,NL,2018,21.19,Exports of high technology products as a share of total products exports,2018-01-01,NLD
Netherlands,Percentage,NL,2019,20.95,Exports of high technology products as a share of total products exports,2019-01-01,NLD
Netherlands,Percentage,NL,2020,23.19,Exports of high technology products as a share of total products exports,2020-01-01,NLD
Netherlands,Percentage,NL,2021,21.71,Exports of high technology products as a share of total products exports,2021-01-01,NLD
